link,step,date
https://drive.google.com/open?id=1079Qei7I52I26t1RTY2fTUy6QUGCDvD8,1,02.06.19
https://drive.google.com/open?id=1UbvuJXc9sOvf2nwpJn0_ZlLFStTO__C7,2,03.03.19
https://drive.google.com/open?id=1nSBMKKQmKQsbGEtUdV32hF1yAzCt70dC,3,09.12.18
https://drive.google.com/open?id=19Pjjp_IsVy7TGk2c5KbadXPY5mWSSiPW,4,17.03.18
https://drive.google.com/open?id=1CRRJEIleohgtTEkuHbBokl8VC-gWSj5m,5,23.12.18
https://drive.google.com/open?id=1570FPVbav2IWe6mMaicEO0bIg_aXPUwv,6,20.10.19
https://drive.google.com/open?id=1Vkg_fdA3kKPCS0ibzPcC3YtpwiEtUw9e,7,13.01.19
https://drive.google.com/open?id=14V9hQfRleBLUMXw3RN9YHacaNcrx6ocL,8,28.04.19
https://drive.google.com/open?id=1kOO4jHV6aMvjCufUuI679xFwprOfiG3n,9,27.01.19
https://drive.google.com/open?id=10cdyCa1xNZgF3nt3o9tMWosFhsAIlwIh,10,12.05.19
https://drive.google.com/open?id=1Gpk2CY8advE3MYp50vMZRSbFN5rZBgjz,11,10.02.19
https://drive.google.com/open?id=10NMPbjkfhaC1N2qw23iN_V3KAPKRQBms,12,01.12.19
