link,topic,speaker,date
https://drive.google.com/open?id=0B-KHIkqzJyupQ1RCRnVUWmFPRjA,A Spiritual Programme,Frank Mc,30.12.07
https://drive.google.com/open?id=0B-KHIkqzJyupRGdlOF9RMEZDZ2M,Keep coming back,Nick M,29.06.08
https://drive.google.com/open?id=0B-KHIkqzJyupZ1NyX1Y5b2RvTEk,Meetings,Sally,31.01.16
https://drive.google.com/open?id=0B-KHIkqzJyupZEgtNVM4Z0R0MFE,Hope,Elmer G,29.05.16
https://drive.google.com/open?id=0B-KHIkqzJyupSlBUQUx5Sm14MTg,History of NA in the UK,Micky C,
https://drive.google.com/open?id=0B-KHIkqzJyupLVROczVlcXBzaUU,Euston Meeting 10th Anniversary,Krystel and Ian,
https://drive.google.com/open?id=0B-KHIkqzJyupMFFFWjlwcnpHc0E,Living with Spiritual Principles,Alex,30.10.16
https://drive.google.com/open?id=0B-KHIkqzJyupYTZxd19yaWxHYW8,Youth and Recovery,Jazz,29.01.17
https://drive.google.com/open?id=0B-KHIkqzJyupS2VhcDNKWHlWWWc,Freedom,Amanda,
https://drive.google.com/open?id=0B-KHIkqzJyupWFdHUlpyN2Rvc1U,Euston Meeting 11th Anniversary,Carla,
https://drive.google.com/open?id=0B-KHIkqzJyupeDF3aU1LVlU0elU,Euston Meeting 11th Anniversary,Dean,
https://drive.google.com/open?id=1yzLTMtxEdnyNFlkrfboBVKSablnR1e7-,Public Information,Simon,
https://drive.google.com/open?id=1kUnq-67rAwnp5sJqP6vrEZDNP4LzH_5h,Willingness,Michael,29.04.18
https://drive.google.com/open?id=18asSDrwfcAwyFqmWGmum93YoIsik6OF2,Service,Karine,29.07.18
https://drive.google.com/open?id=1OdA5hxe1LuIvRQdu81mFPAHxhMestVxB,Euston Meeting 12th Anniversary,Amy,19.08.18
https://drive.google.com/open?id=1NCfN4YC1SPuRniObDfmDQ-x7tZpExiDK,Euston Meeting 12th Anniversary,Dean B,19.08.18
https://drive.google.com/open?id=1sfeOAERgvLMJeM-wtBt2j35GoVd5lKfz,A Vision of Hope,Charles,30.09.18
https://drive.google.com/open?id=1HywKDYKZfY_IXfGp0Fh-5YF-xhePye3b,Trust,Jane,30.12.18
https://drive.google.com/open?id=1mruyo7eFnFaEvUW5IHmGAkx9ufbUnswG,Change,Frankie,14.04.19
https://drive.google.com/open?id=1bTkS81LfVbe2tXAyCSwEWw83IJ1jpJK0,Euston Meeting 13th Anniversary,James,18.08.19
https://drive.google.com/open?id=0B-KHIkqzJyupWHpBeHBPZEFsWlYzRWF6SnNtd2dWNklMdVJj,Euston Meeting 13th Anniversary,Alison,18.08.19
https://drive.google.com/open?id=1JD6KOoo0Bb8VWb5TKrzhMhh_nWyu_jlj,Giving Back and More,Murray,29.09.19
https://drive.google.com/open?id=1U-yRftn707pjb-ZoceRtsxRLaKysEKCe,Work,Sarah,29.12.19
https://drive.google.com/file/d/1-nuqDYu2a5J1mkOgMfk0hGjCTY4f4Fqx/view,Life on Life's Terms,Niki,29.03.20
https://drive.google.com/file/d/116pOAMHE4-fRB-jyTC4FNXJ6kKdJTGYB/view,NA Convention,Mille,19.04.20
https://drive.google.com/file/d/1ioQ3vZRG1k0HGxD6IQdn3VL4x73ddICE/view,Living Clean,Leanne,31.05.20
https://drive.google.com/file/d/1K1qd28dR4t-7ajtZCQwDjPI_zPjQ_kxq/view?usp=sharing,Desperation to Passion,Ros,30.08.20
https://drive.google.com/file/d/1WbxyZ6Ht0n8qF1DnETzA8dPGzuWokja1/view?usp=sharing,Just For Today,Jan,29.11.20
https://drive.google.com/file/d/1eyS754hgj5QY5Y0z6a_YYM-sL_NRZLko/view?usp=sharing,Honesty Open Mindedness and Willingness,Scott B,31.01.21
https://drive.google.com/file/d/1DY0gnp082QUnz0SILj_Q1cy9vCugc2lg/view?usp=sharing,Finding Freedom,Kuchenga,30.05.21
https://drive.google.com/file/d/1KEF_arNFUlTjmyL5YqHmKhGFyjCEGu0Z/view?usp=sharing,15th Anniversary,29.08.21
https://drive.google.com/file/d/1UveFGHtBHlIHOiUm2OJYll9PzLw5joR6/view?usp=sharing,15th Anniversary,29.08.21
